starting process mgr with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\perf\results\runtime_configs\map_capacity_20260713_095506\200p_8g_r2\mgr.json
scene login_mgr (LoginMgr) listening on 127.0.0.1:7000
[process:mgr] one V8 started with 1 scene(s)
[login_mgr] LoginMgr scene started at 127.0.0.1:7000 with login scenes: login_1
login_mgr accepted 127.0.0.1:63004 as conn 1
login_mgr accepted 127.0.0.1:63016 as conn 2
login_mgr accepted 127.0.0.1:63017 as conn 3
login_mgr accepted 127.0.0.1:63018 as conn 4
login_mgr accepted 127.0.0.1:63019 as conn 5
login_mgr accepted 127.0.0.1:63020 as conn 6
login_mgr accepted 127.0.0.1:63021 as conn 7
login_mgr accepted 127.0.0.1:63022 as conn 8
login_mgr accepted 127.0.0.1:63023 as conn 9
login_mgr accepted 127.0.0.1:63024 as conn 10
login_mgr accepted 127.0.0.1:63025 as conn 11
login_mgr accepted 127.0.0.1:63026 as conn 12
login_mgr accepted 127.0.0.1:63027 as conn 13
login_mgr accepted 127.0.0.1:63028 as conn 14
login_mgr accepted 127.0.0.1:63029 as conn 15
login_mgr accepted 127.0.0.1:63030 as conn 16
login_mgr accepted 127.0.0.1:63031 as conn 17
login_mgr accepted 127.0.0.1:63082 as conn 18
login_mgr accepted 127.0.0.1:63094 as conn 19
login_mgr accepted 127.0.0.1:63097 as conn 20
login_mgr accepted 127.0.0.1:63098 as conn 21
login_mgr accepted 127.0.0.1:63099 as conn 22
login_mgr accepted 127.0.0.1:63100 as conn 23
login_mgr accepted 127.0.0.1:63101 as conn 24
login_mgr accepted 127.0.0.1:63102 as conn 25
login_mgr accepted 127.0.0.1:63104 as conn 26
login_mgr accepted 127.0.0.1:63107 as conn 27
login_mgr accepted 127.0.0.1:63109 as conn 28
login_mgr accepted 127.0.0.1:63110 as conn 29
login_mgr accepted 127.0.0.1:63111 as conn 30
login_mgr accepted 127.0.0.1:63112 as conn 31
login_mgr accepted 127.0.0.1:63113 as conn 32
login_mgr accepted 127.0.0.1:63114 as conn 33
login_mgr accepted 127.0.0.1:63115 as conn 34
login_mgr accepted 127.0.0.1:63116 as conn 35
login_mgr accepted 127.0.0.1:63145 as conn 36
login_mgr accepted 127.0.0.1:63146 as conn 37
login_mgr accepted 127.0.0.1:63147 as conn 38
login_mgr accepted 127.0.0.1:63148 as conn 39
login_mgr accepted 127.0.0.1:63149 as conn 40
login_mgr accepted 127.0.0.1:63150 as conn 41
login_mgr accepted 127.0.0.1:63151 as conn 42
login_mgr accepted 127.0.0.1:63152 as conn 43
login_mgr accepted 127.0.0.1:63154 as conn 44
login_mgr accepted 127.0.0.1:63158 as conn 45
login_mgr accepted 127.0.0.1:63159 as conn 46
login_mgr accepted 127.0.0.1:63160 as conn 47
login_mgr accepted 127.0.0.1:63164 as conn 48
login_mgr accepted 127.0.0.1:63165 as conn 49
login_mgr accepted 127.0.0.1:63167 as conn 50
login_mgr accepted 127.0.0.1:63168 as conn 51
login_mgr accepted 127.0.0.1:63193 as conn 52
login_mgr accepted 127.0.0.1:63194 as conn 53
login_mgr accepted 127.0.0.1:63195 as conn 54
login_mgr accepted 127.0.0.1:63196 as conn 55
login_mgr accepted 127.0.0.1:63197 as conn 56
login_mgr accepted 127.0.0.1:63199 as conn 57
login_mgr accepted 127.0.0.1:63202 as conn 58
login_mgr accepted 127.0.0.1:63203 as conn 59
login_mgr accepted 127.0.0.1:63204 as conn 60
login_mgr accepted 127.0.0.1:63205 as conn 61
login_mgr accepted 127.0.0.1:63206 as conn 62
login_mgr accepted 127.0.0.1:63207 as conn 63
login_mgr accepted 127.0.0.1:63209 as conn 64
login_mgr accepted 127.0.0.1:63210 as conn 65
login_mgr accepted 127.0.0.1:63214 as conn 66
login_mgr accepted 127.0.0.1:63215 as conn 67
login_mgr accepted 127.0.0.1:63236 as conn 68
login_mgr accepted 127.0.0.1:63240 as conn 69
login_mgr accepted 127.0.0.1:63243 as conn 70
login_mgr accepted 127.0.0.1:63244 as conn 71
login_mgr accepted 127.0.0.1:63245 as conn 72
login_mgr accepted 127.0.0.1:63247 as conn 73
login_mgr accepted 127.0.0.1:63248 as conn 74
login_mgr accepted 127.0.0.1:63250 as conn 75
login_mgr accepted 127.0.0.1:63251 as conn 76
login_mgr accepted 127.0.0.1:63252 as conn 77
login_mgr accepted 127.0.0.1:63254 as conn 78
login_mgr accepted 127.0.0.1:63256 as conn 79
login_mgr accepted 127.0.0.1:63257 as conn 80
login_mgr accepted 127.0.0.1:63259 as conn 81
login_mgr accepted 127.0.0.1:63260 as conn 82
login_mgr accepted 127.0.0.1:63263 as conn 83
login_mgr accepted 127.0.0.1:63286 as conn 84
login_mgr accepted 127.0.0.1:63290 as conn 85
login_mgr accepted 127.0.0.1:63291 as conn 86
login_mgr accepted 127.0.0.1:63292 as conn 87
login_mgr accepted 127.0.0.1:63293 as conn 88
login_mgr accepted 127.0.0.1:63296 as conn 89
login_mgr accepted 127.0.0.1:63298 as conn 90
login_mgr accepted 127.0.0.1:63301 as conn 91
login_mgr accepted 127.0.0.1:63312 as conn 92
login_mgr accepted 127.0.0.1:63313 as conn 93
login_mgr accepted 127.0.0.1:63314 as conn 94
login_mgr accepted 127.0.0.1:63315 as conn 95
login_mgr accepted 127.0.0.1:63316 as conn 96
login_mgr accepted 127.0.0.1:63319 as conn 97
login_mgr accepted 127.0.0.1:63320 as conn 98
login_mgr accepted 127.0.0.1:63321 as conn 99
login_mgr accepted 127.0.0.1:63325 as conn 100
login_mgr accepted 127.0.0.1:63329 as conn 101
login_mgr accepted 127.0.0.1:63330 as conn 102
login_mgr accepted 127.0.0.1:63333 as conn 103
login_mgr accepted 127.0.0.1:63334 as conn 104
login_mgr accepted 127.0.0.1:63335 as conn 105
login_mgr accepted 127.0.0.1:63338 as conn 106
login_mgr accepted 127.0.0.1:63339 as conn 107
login_mgr accepted 127.0.0.1:63359 as conn 108
login_mgr accepted 127.0.0.1:63361 as conn 109
login_mgr accepted 127.0.0.1:63364 as conn 110
login_mgr accepted 127.0.0.1:63365 as conn 111
login_mgr accepted 127.0.0.1:63367 as conn 112
login_mgr accepted 127.0.0.1:63368 as conn 113
login_mgr accepted 127.0.0.1:63369 as conn 114
login_mgr accepted 127.0.0.1:63370 as conn 115
login_mgr accepted 127.0.0.1:63373 as conn 116
login_mgr accepted 127.0.0.1:63379 as conn 117
login_mgr accepted 127.0.0.1:63381 as conn 118
login_mgr accepted 127.0.0.1:63382 as conn 119
login_mgr accepted 127.0.0.1:63392 as conn 120
login_mgr accepted 127.0.0.1:63394 as conn 121
login_mgr accepted 127.0.0.1:63396 as conn 122
login_mgr accepted 127.0.0.1:63398 as conn 123
login_mgr accepted 127.0.0.1:63407 as conn 124
login_mgr accepted 127.0.0.1:63414 as conn 125
login_mgr accepted 127.0.0.1:63415 as conn 126
login_mgr accepted 127.0.0.1:63416 as conn 127
login_mgr accepted 127.0.0.1:63417 as conn 128
login_mgr accepted 127.0.0.1:63418 as conn 129
login_mgr accepted 127.0.0.1:63419 as conn 130
login_mgr accepted 127.0.0.1:63420 as conn 131
login_mgr accepted 127.0.0.1:63421 as conn 132
login_mgr accepted 127.0.0.1:63427 as conn 133
login_mgr accepted 127.0.0.1:63428 as conn 134
login_mgr accepted 127.0.0.1:63442 as conn 135
login_mgr accepted 127.0.0.1:63443 as conn 136
login_mgr accepted 127.0.0.1:63444 as conn 137
login_mgr accepted 127.0.0.1:63445 as conn 138
login_mgr accepted 127.0.0.1:63446 as conn 139
login_mgr accepted 127.0.0.1:63447 as conn 140
login_mgr accepted 127.0.0.1:63454 as conn 141
login_mgr accepted 127.0.0.1:63457 as conn 142
login_mgr accepted 127.0.0.1:63458 as conn 143
login_mgr accepted 127.0.0.1:63471 as conn 144
login_mgr accepted 127.0.0.1:63472 as conn 145
login_mgr accepted 127.0.0.1:63473 as conn 146
login_mgr accepted 127.0.0.1:63474 as conn 147
login_mgr accepted 127.0.0.1:63475 as conn 148
login_mgr accepted 127.0.0.1:63481 as conn 149
