starting process mgr with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\perf\results\runtime_configs\map_capacity_20260713_092657\200p_8g_r1\mgr.json
scene login_mgr (LoginMgr) listening on 127.0.0.1:7000
[process:mgr] one V8 started with 1 scene(s)
[login_mgr] LoginMgr scene started at 127.0.0.1:7000 with login scenes: login_1
login_mgr accepted 127.0.0.1:51747 as conn 1
login_mgr accepted 127.0.0.1:51759 as conn 2
login_mgr accepted 127.0.0.1:51760 as conn 3
login_mgr accepted 127.0.0.1:51761 as conn 4
login_mgr accepted 127.0.0.1:51762 as conn 5
login_mgr accepted 127.0.0.1:51763 as conn 6
login_mgr accepted 127.0.0.1:51764 as conn 7
login_mgr accepted 127.0.0.1:51765 as conn 8
login_mgr accepted 127.0.0.1:51766 as conn 9
login_mgr accepted 127.0.0.1:51767 as conn 10
login_mgr accepted 127.0.0.1:51768 as conn 11
login_mgr accepted 127.0.0.1:51769 as conn 12
login_mgr accepted 127.0.0.1:51770 as conn 13
login_mgr accepted 127.0.0.1:51771 as conn 14
login_mgr accepted 127.0.0.1:51772 as conn 15
login_mgr accepted 127.0.0.1:51773 as conn 16
login_mgr accepted 127.0.0.1:51774 as conn 17
login_mgr accepted 127.0.0.1:51825 as conn 18
login_mgr accepted 127.0.0.1:51834 as conn 19
login_mgr accepted 127.0.0.1:51838 as conn 20
login_mgr accepted 127.0.0.1:51839 as conn 21
login_mgr accepted 127.0.0.1:51842 as conn 22
login_mgr accepted 127.0.0.1:51843 as conn 23
login_mgr accepted 127.0.0.1:51844 as conn 24
login_mgr accepted 127.0.0.1:51845 as conn 25
login_mgr accepted 127.0.0.1:51846 as conn 26
login_mgr accepted 127.0.0.1:51847 as conn 27
login_mgr accepted 127.0.0.1:51848 as conn 28
login_mgr accepted 127.0.0.1:51849 as conn 29
login_mgr accepted 127.0.0.1:51850 as conn 30
login_mgr accepted 127.0.0.1:51851 as conn 31
login_mgr accepted 127.0.0.1:51852 as conn 32
login_mgr accepted 127.0.0.1:51853 as conn 33
login_mgr accepted 127.0.0.1:51854 as conn 34
login_mgr accepted 127.0.0.1:51855 as conn 35
login_mgr accepted 127.0.0.1:51886 as conn 36
login_mgr accepted 127.0.0.1:51887 as conn 37
login_mgr accepted 127.0.0.1:51888 as conn 38
login_mgr accepted 127.0.0.1:51889 as conn 39
login_mgr accepted 127.0.0.1:51893 as conn 40
login_mgr accepted 127.0.0.1:51897 as conn 41
login_mgr accepted 127.0.0.1:51898 as conn 42
login_mgr accepted 127.0.0.1:51902 as conn 43
login_mgr accepted 127.0.0.1:51903 as conn 44
login_mgr accepted 127.0.0.1:51905 as conn 45
login_mgr accepted 127.0.0.1:51906 as conn 46
login_mgr accepted 127.0.0.1:51909 as conn 47
login_mgr accepted 127.0.0.1:51910 as conn 48
login_mgr accepted 127.0.0.1:51912 as conn 49
login_mgr accepted 127.0.0.1:51913 as conn 50
login_mgr accepted 127.0.0.1:51914 as conn 51
login_mgr accepted 127.0.0.1:51918 as conn 52
login_mgr accepted 127.0.0.1:51920 as conn 53
login_mgr accepted 127.0.0.1:51926 as conn 54
login_mgr accepted 127.0.0.1:51929 as conn 55
login_mgr accepted 127.0.0.1:51932 as conn 56
login_mgr accepted 127.0.0.1:51947 as conn 57
login_mgr accepted 127.0.0.1:51949 as conn 58
login_mgr accepted 127.0.0.1:51950 as conn 59
login_mgr accepted 127.0.0.1:51953 as conn 60
login_mgr accepted 127.0.0.1:51955 as conn 61
login_mgr accepted 127.0.0.1:51956 as conn 62
login_mgr accepted 127.0.0.1:51958 as conn 63
login_mgr accepted 127.0.0.1:51960 as conn 64
login_mgr accepted 127.0.0.1:51962 as conn 65
login_mgr accepted 127.0.0.1:51963 as conn 66
login_mgr accepted 127.0.0.1:51964 as conn 67
login_mgr accepted 127.0.0.1:51966 as conn 68
login_mgr accepted 127.0.0.1:51968 as conn 69
login_mgr accepted 127.0.0.1:51974 as conn 70
login_mgr accepted 127.0.0.1:51976 as conn 71
login_mgr accepted 127.0.0.1:51980 as conn 72
login_mgr accepted 127.0.0.1:51996 as conn 73
login_mgr accepted 127.0.0.1:51997 as conn 74
login_mgr accepted 127.0.0.1:51998 as conn 75
login_mgr accepted 127.0.0.1:52001 as conn 76
login_mgr accepted 127.0.0.1:52003 as conn 77
login_mgr accepted 127.0.0.1:52005 as conn 78
login_mgr accepted 127.0.0.1:52006 as conn 79
login_mgr accepted 127.0.0.1:52008 as conn 80
login_mgr accepted 127.0.0.1:52010 as conn 81
login_mgr accepted 127.0.0.1:52013 as conn 82
login_mgr accepted 127.0.0.1:52014 as conn 83
login_mgr accepted 127.0.0.1:52018 as conn 84
login_mgr accepted 127.0.0.1:52019 as conn 85
login_mgr accepted 127.0.0.1:52023 as conn 86
login_mgr accepted 127.0.0.1:52024 as conn 87
login_mgr accepted 127.0.0.1:52027 as conn 88
login_mgr accepted 127.0.0.1:52042 as conn 89
login_mgr accepted 127.0.0.1:52043 as conn 90
login_mgr accepted 127.0.0.1:52046 as conn 91
login_mgr accepted 127.0.0.1:52049 as conn 92
login_mgr accepted 127.0.0.1:52051 as conn 93
login_mgr accepted 127.0.0.1:52054 as conn 94
login_mgr accepted 127.0.0.1:52055 as conn 95
login_mgr accepted 127.0.0.1:52057 as conn 96
login_mgr accepted 127.0.0.1:52058 as conn 97
login_mgr accepted 127.0.0.1:52060 as conn 98
login_mgr accepted 127.0.0.1:52062 as conn 99
login_mgr accepted 127.0.0.1:52069 as conn 100
login_mgr accepted 127.0.0.1:52071 as conn 101
login_mgr accepted 127.0.0.1:52076 as conn 102
login_mgr accepted 127.0.0.1:52077 as conn 103
login_mgr accepted 127.0.0.1:52078 as conn 104
login_mgr accepted 127.0.0.1:52088 as conn 105
login_mgr accepted 127.0.0.1:52092 as conn 106
login_mgr accepted 127.0.0.1:52093 as conn 107
login_mgr accepted 127.0.0.1:52096 as conn 108
login_mgr accepted 127.0.0.1:52098 as conn 109
login_mgr accepted 127.0.0.1:52102 as conn 110
login_mgr accepted 127.0.0.1:52107 as conn 111
login_mgr accepted 127.0.0.1:52108 as conn 112
login_mgr accepted 127.0.0.1:52113 as conn 113
login_mgr accepted 127.0.0.1:52114 as conn 114
login_mgr accepted 127.0.0.1:52115 as conn 115
login_mgr accepted 127.0.0.1:52120 as conn 116
login_mgr accepted 127.0.0.1:52121 as conn 117
login_mgr accepted 127.0.0.1:52123 as conn 118
login_mgr accepted 127.0.0.1:52124 as conn 119
login_mgr accepted 127.0.0.1:52128 as conn 120
login_mgr accepted 127.0.0.1:52134 as conn 121
login_mgr accepted 127.0.0.1:52135 as conn 122
login_mgr accepted 127.0.0.1:52141 as conn 123
login_mgr accepted 127.0.0.1:52143 as conn 124
login_mgr accepted 127.0.0.1:52147 as conn 125
login_mgr accepted 127.0.0.1:52150 as conn 126
login_mgr accepted 127.0.0.1:52152 as conn 127
login_mgr accepted 127.0.0.1:52154 as conn 128
login_mgr accepted 127.0.0.1:52159 as conn 129
login_mgr accepted 127.0.0.1:52163 as conn 130
login_mgr accepted 127.0.0.1:52165 as conn 131
login_mgr accepted 127.0.0.1:52168 as conn 132
login_mgr accepted 127.0.0.1:52170 as conn 133
login_mgr accepted 127.0.0.1:52175 as conn 134
login_mgr accepted 127.0.0.1:52176 as conn 135
login_mgr accepted 127.0.0.1:52179 as conn 136
login_mgr accepted 127.0.0.1:52181 as conn 137
login_mgr accepted 127.0.0.1:52182 as conn 138
login_mgr accepted 127.0.0.1:52187 as conn 139
login_mgr accepted 127.0.0.1:52191 as conn 140
login_mgr accepted 127.0.0.1:52196 as conn 141
login_mgr accepted 127.0.0.1:52197 as conn 142
login_mgr accepted 127.0.0.1:52204 as conn 143
login_mgr accepted 127.0.0.1:52205 as conn 144
login_mgr accepted 127.0.0.1:52209 as conn 145
login_mgr accepted 127.0.0.1:52210 as conn 146
login_mgr accepted 127.0.0.1:52212 as conn 147
login_mgr accepted 127.0.0.1:52213 as conn 148
login_mgr accepted 127.0.0.1:52217 as conn 149
