starting process mgr with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\perf\results\runtime_configs\map_capacity_20260713_084606\200p_8g_r1\mgr.json
scene login_mgr (LoginMgr) listening on 127.0.0.1:7000
[process:mgr] one V8 started with 1 scene(s)
[login_mgr] LoginMgr scene started at 127.0.0.1:7000 with login scenes: login_1
login_mgr accepted 127.0.0.1:63498 as conn 1
login_mgr accepted 127.0.0.1:63510 as conn 2
login_mgr accepted 127.0.0.1:63511 as conn 3
login_mgr accepted 127.0.0.1:63512 as conn 4
login_mgr accepted 127.0.0.1:63513 as conn 5
login_mgr accepted 127.0.0.1:63514 as conn 6
login_mgr accepted 127.0.0.1:63515 as conn 7
login_mgr accepted 127.0.0.1:63516 as conn 8
login_mgr accepted 127.0.0.1:63517 as conn 9
login_mgr accepted 127.0.0.1:63518 as conn 10
login_mgr accepted 127.0.0.1:63519 as conn 11
login_mgr accepted 127.0.0.1:63520 as conn 12
login_mgr accepted 127.0.0.1:63521 as conn 13
login_mgr accepted 127.0.0.1:63522 as conn 14
login_mgr accepted 127.0.0.1:63523 as conn 15
login_mgr accepted 127.0.0.1:63524 as conn 16
login_mgr accepted 127.0.0.1:63525 as conn 17
login_mgr accepted 127.0.0.1:63576 as conn 18
login_mgr accepted 127.0.0.1:63586 as conn 19
login_mgr accepted 127.0.0.1:63588 as conn 20
login_mgr accepted 127.0.0.1:63590 as conn 21
login_mgr accepted 127.0.0.1:63593 as conn 22
login_mgr accepted 127.0.0.1:63594 as conn 23
login_mgr accepted 127.0.0.1:63595 as conn 24
login_mgr accepted 127.0.0.1:63596 as conn 25
login_mgr accepted 127.0.0.1:63597 as conn 26
login_mgr accepted 127.0.0.1:63598 as conn 27
login_mgr accepted 127.0.0.1:63599 as conn 28
login_mgr accepted 127.0.0.1:63600 as conn 29
login_mgr accepted 127.0.0.1:63601 as conn 30
login_mgr accepted 127.0.0.1:63602 as conn 31
login_mgr accepted 127.0.0.1:63603 as conn 32
login_mgr accepted 127.0.0.1:63606 as conn 33
login_mgr accepted 127.0.0.1:63630 as conn 34
login_mgr accepted 127.0.0.1:63636 as conn 35
login_mgr accepted 127.0.0.1:63639 as conn 36
login_mgr accepted 127.0.0.1:63640 as conn 37
login_mgr accepted 127.0.0.1:63641 as conn 38
login_mgr accepted 127.0.0.1:63642 as conn 39
login_mgr accepted 127.0.0.1:63643 as conn 40
login_mgr accepted 127.0.0.1:63644 as conn 41
login_mgr accepted 127.0.0.1:63645 as conn 42
login_mgr accepted 127.0.0.1:63646 as conn 43
login_mgr accepted 127.0.0.1:63648 as conn 44
login_mgr accepted 127.0.0.1:63654 as conn 45
login_mgr accepted 127.0.0.1:63655 as conn 46
login_mgr accepted 127.0.0.1:63656 as conn 47
login_mgr accepted 127.0.0.1:63663 as conn 48
login_mgr accepted 127.0.0.1:63664 as conn 49
login_mgr accepted 127.0.0.1:63679 as conn 50
login_mgr accepted 127.0.0.1:63680 as conn 51
login_mgr accepted 127.0.0.1:63682 as conn 52
login_mgr accepted 127.0.0.1:63684 as conn 53
login_mgr accepted 127.0.0.1:63687 as conn 54
login_mgr accepted 127.0.0.1:63690 as conn 55
login_mgr accepted 127.0.0.1:63691 as conn 56
login_mgr accepted 127.0.0.1:63695 as conn 57
login_mgr accepted 127.0.0.1:63699 as conn 58
login_mgr accepted 127.0.0.1:63701 as conn 59
login_mgr accepted 127.0.0.1:63703 as conn 60
login_mgr accepted 127.0.0.1:63710 as conn 61
login_mgr accepted 127.0.0.1:63712 as conn 62
login_mgr accepted 127.0.0.1:63713 as conn 63
login_mgr accepted 127.0.0.1:63714 as conn 64
login_mgr accepted 127.0.0.1:63715 as conn 65
login_mgr accepted 127.0.0.1:63719 as conn 66
login_mgr accepted 127.0.0.1:63720 as conn 67
login_mgr accepted 127.0.0.1:63721 as conn 68
login_mgr accepted 127.0.0.1:63722 as conn 69
login_mgr accepted 127.0.0.1:63724 as conn 70
login_mgr accepted 127.0.0.1:63729 as conn 71
login_mgr accepted 127.0.0.1:63730 as conn 72
login_mgr accepted 127.0.0.1:63735 as conn 73
login_mgr accepted 127.0.0.1:63743 as conn 74
login_mgr accepted 127.0.0.1:63745 as conn 75
login_mgr accepted 127.0.0.1:63746 as conn 76
login_mgr accepted 127.0.0.1:63759 as conn 77
login_mgr accepted 127.0.0.1:63764 as conn 78
login_mgr accepted 127.0.0.1:63765 as conn 79
login_mgr accepted 127.0.0.1:63766 as conn 80
login_mgr accepted 127.0.0.1:63774 as conn 81
login_mgr accepted 127.0.0.1:63775 as conn 82
login_mgr accepted 127.0.0.1:63776 as conn 83
login_mgr accepted 127.0.0.1:63777 as conn 84
login_mgr accepted 127.0.0.1:63783 as conn 85
login_mgr accepted 127.0.0.1:63784 as conn 86
login_mgr accepted 127.0.0.1:63788 as conn 87
login_mgr accepted 127.0.0.1:63789 as conn 88
login_mgr accepted 127.0.0.1:63798 as conn 89
login_mgr accepted 127.0.0.1:63799 as conn 90
login_mgr accepted 127.0.0.1:63800 as conn 91
login_mgr accepted 127.0.0.1:63801 as conn 92
login_mgr accepted 127.0.0.1:63810 as conn 93
login_mgr accepted 127.0.0.1:63811 as conn 94
login_mgr accepted 127.0.0.1:63812 as conn 95
login_mgr accepted 127.0.0.1:63813 as conn 96
login_mgr accepted 127.0.0.1:63822 as conn 97
login_mgr accepted 127.0.0.1:63823 as conn 98
login_mgr accepted 127.0.0.1:63824 as conn 99
login_mgr accepted 127.0.0.1:63825 as conn 100
login_mgr accepted 127.0.0.1:63831 as conn 101
login_mgr accepted 127.0.0.1:63832 as conn 102
login_mgr accepted 127.0.0.1:63836 as conn 103
login_mgr accepted 127.0.0.1:63837 as conn 104
login_mgr accepted 127.0.0.1:63846 as conn 105
login_mgr accepted 127.0.0.1:63847 as conn 106
login_mgr accepted 127.0.0.1:63848 as conn 107
login_mgr accepted 127.0.0.1:63849 as conn 108
login_mgr accepted 127.0.0.1:63854 as conn 109
login_mgr accepted 127.0.0.1:63855 as conn 110
login_mgr accepted 127.0.0.1:63858 as conn 111
login_mgr accepted 127.0.0.1:63861 as conn 112
login_mgr accepted 127.0.0.1:63870 as conn 113
login_mgr accepted 127.0.0.1:63871 as conn 114
login_mgr accepted 127.0.0.1:63872 as conn 115
login_mgr accepted 127.0.0.1:63873 as conn 116
login_mgr accepted 127.0.0.1:63884 as conn 117
login_mgr accepted 127.0.0.1:63885 as conn 118
login_mgr accepted 127.0.0.1:63886 as conn 119
login_mgr accepted 127.0.0.1:63887 as conn 120
login_mgr accepted 127.0.0.1:63896 as conn 121
login_mgr accepted 127.0.0.1:63897 as conn 122
login_mgr accepted 127.0.0.1:63900 as conn 123
login_mgr accepted 127.0.0.1:63901 as conn 124
login_mgr accepted 127.0.0.1:63910 as conn 125
login_mgr accepted 127.0.0.1:63911 as conn 126
login_mgr accepted 127.0.0.1:63912 as conn 127
login_mgr accepted 127.0.0.1:63913 as conn 128
login_mgr accepted 127.0.0.1:63922 as conn 129
login_mgr accepted 127.0.0.1:63923 as conn 130
login_mgr accepted 127.0.0.1:63924 as conn 131
login_mgr accepted 127.0.0.1:63925 as conn 132
login_mgr accepted 127.0.0.1:63934 as conn 133
login_mgr accepted 127.0.0.1:63935 as conn 134
login_mgr accepted 127.0.0.1:63936 as conn 135
login_mgr accepted 127.0.0.1:63937 as conn 136
login_mgr accepted 127.0.0.1:63946 as conn 137
login_mgr accepted 127.0.0.1:63947 as conn 138
login_mgr accepted 127.0.0.1:63948 as conn 139
login_mgr accepted 127.0.0.1:63949 as conn 140
login_mgr accepted 127.0.0.1:63958 as conn 141
login_mgr accepted 127.0.0.1:63959 as conn 142
login_mgr accepted 127.0.0.1:63960 as conn 143
login_mgr accepted 127.0.0.1:63961 as conn 144
login_mgr accepted 127.0.0.1:63970 as conn 145
login_mgr accepted 127.0.0.1:63971 as conn 146
login_mgr accepted 127.0.0.1:63972 as conn 147
login_mgr accepted 127.0.0.1:63973 as conn 148
login_mgr accepted 127.0.0.1:63982 as conn 149
