starting process map1 with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\perf\results\runtime_configs\map_capacity_20260713_082359\200p_8g_r2\map1.json
scene map_1 (MapHost) listening on 127.0.0.1:7301
[process:map1] one V8 started with 1 scene(s)
[map_1] MapHost scene started at 127.0.0.1:7301
map_1 accepted 127.0.0.1:54880 as conn 1
map_1 accepted 127.0.0.1:54941 as conn 2
map_1 accepted 127.0.0.1:54942 as conn 3
map_1 accepted 127.0.0.1:54943 as conn 4
map_1 accepted 127.0.0.1:54944 as conn 5
map_1 accepted 127.0.0.1:54945 as conn 6
[map_1] perf_8g_10_200_0_1783931334059 enter map 1 unit 1000
map_1 accepted 127.0.0.1:54946 as conn 7
map_1 accepted 127.0.0.1:54947 as conn 8
map_1 accepted 127.0.0.1:54948 as conn 9
[map_1] perf_8g_10_200_1_1783931334060 enter map 1 unit 1001
[map_1] perf_8g_10_200_4_1783931334060 enter map 1 unit 1002
[map_1] perf_8g_10_200_5_1783931334060 enter map 1 unit 1003
[map_1] perf_8g_10_200_2_1783931334060 enter map 1 unit 1004
[map_1] perf_8g_10_200_9_1783931334060 enter map 1 unit 1005
[map_1] perf_8g_10_200_6_1783931334060 enter map 1 unit 1006
[map_1] perf_8g_10_200_3_1783931334060 enter map 1 unit 1007
[map_1] perf_8g_10_200_7_1783931334060 enter map 1 unit 1008
[map_1] perf_8g_10_200_14_1783931334060 enter map 1 unit 1009
[map_1] perf_8g_10_200_12_1783931334060 enter map 1 unit 1010
[map_1] perf_8g_10_200_15_1783931334060 enter map 1 unit 1011
[map_1] perf_8g_10_200_11_1783931334060 enter map 1 unit 1012
[map_1] perf_8g_10_200_13_1783931334060 enter map 1 unit 1013
[map_1] perf_8g_10_200_8_1783931334060 enter map 1 unit 1014
[map_1] perf_8g_10_200_10_1783931334060 enter map 1 unit 1015
[map_1] perf_8g_10_200_16_1783931334085 enter map 1 unit 1016
[map_1] perf_8g_10_200_17_1783931334087 enter map 1 unit 1017
[map_1] perf_8g_10_200_18_1783931334090 enter map 1 unit 1018
[map_1] perf_8g_10_200_20_1783931334090 enter map 1 unit 1019
[map_1] perf_8g_10_200_21_1783931334091 enter map 1 unit 1020
[map_1] perf_8g_10_200_19_1783931334090 enter map 1 unit 1021
[map_1] perf_8g_10_200_22_1783931334091 enter map 1 unit 1022
[map_1] perf_8g_10_200_23_1783931334092 enter map 1 unit 1023
[map_1] perf_8g_10_200_25_1783931334092 enter map 1 unit 1024
[map_1] perf_8g_10_200_24_1783931334092 enter map 1 unit 1025
[map_1] perf_8g_10_200_26_1783931334093 enter map 1 unit 1026
[map_1] perf_8g_10_200_27_1783931334093 enter map 1 unit 1027
[map_1] perf_8g_10_200_28_1783931334094 enter map 1 unit 1028
[map_1] perf_8g_10_200_30_1783931334094 enter map 1 unit 1029
[map_1] perf_8g_10_200_29_1783931334094 enter map 1 unit 1030
[map_1] perf_8g_10_200_32_1783931334095 enter map 1 unit 1031
[map_1] perf_8g_10_200_31_1783931334094 enter map 1 unit 1032
[map_1] perf_8g_10_200_33_1783931334100 enter map 1 unit 1033
[map_1] perf_8g_10_200_34_1783931334105 enter map 1 unit 1034
[map_1] perf_8g_10_200_35_1783931334106 enter map 1 unit 1035
[map_1] perf_8g_10_200_36_1783931334107 enter map 1 unit 1036
[map_1] perf_8g_10_200_37_1783931334107 enter map 1 unit 1037
[map_1] perf_8g_10_200_38_1783931334108 enter map 1 unit 1038
[map_1] perf_8g_10_200_39_1783931334110 enter map 1 unit 1039
[map_1] perf_8g_10_200_40_1783931334111 enter map 1 unit 1040
[map_1] perf_8g_10_200_42_1783931334112 enter map 1 unit 1041
[map_1] perf_8g_10_200_41_1783931334112 enter map 1 unit 1042
[map_1] perf_8g_10_200_43_1783931334113 enter map 1 unit 1043
[map_1] perf_8g_10_200_44_1783931334114 enter map 1 unit 1044
[map_1] perf_8g_10_200_45_1783931334115 enter map 1 unit 1045
[map_1] perf_8g_10_200_46_1783931334116 enter map 1 unit 1046
[map_1] perf_8g_10_200_47_1783931334116 enter map 1 unit 1047
[map_1] perf_8g_10_200_48_1783931334116 enter map 1 unit 1048
[map_1] perf_8g_10_200_49_1783931334116 enter map 1 unit 1049
[map_1] perf_8g_10_200_50_1783931334123 enter map 1 unit 1050
[map_1] perf_8g_10_200_51_1783931334124 enter map 1 unit 1051
[map_1] perf_8g_10_200_52_1783931334125 enter map 1 unit 1052
[map_1] perf_8g_10_200_53_1783931334126 enter map 1 unit 1053
[map_1] perf_8g_10_200_54_1783931334127 enter map 1 unit 1054
[map_1] perf_8g_10_200_55_1783931334129 enter map 1 unit 1055
[map_1] perf_8g_10_200_56_1783931334132 enter map 1 unit 1056
[map_1] perf_8g_10_200_57_1783931334134 enter map 1 unit 1057
[map_1] perf_8g_10_200_58_1783931334134 enter map 1 unit 1058
[map_1] perf_8g_10_200_59_1783931334137 enter map 1 unit 1059
[map_1] perf_8g_10_200_60_1783931334137 enter map 1 unit 1060
[map_1] perf_8g_10_200_61_1783931334138 enter map 1 unit 1061
[map_1] perf_8g_10_200_62_1783931334139 enter map 1 unit 1062
[map_1] perf_8g_10_200_63_1783931334140 enter map 1 unit 1063
[map_1] perf_8g_10_200_65_1783931334141 enter map 1 unit 1065
[map_1] perf_8g_10_200_64_1783931334140 enter map 1 unit 1064
[map_1] perf_8g_10_200_66_1783931334147 enter map 1 unit 1066
