starting process mgr with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\perf\results\runtime_configs\map_capacity_20260713_082359\195p_8g_r2\mgr.json
scene login_mgr (LoginMgr) listening on 127.0.0.1:7000
[process:mgr] one V8 started with 1 scene(s)
[login_mgr] LoginMgr scene started at 127.0.0.1:7000 with login scenes: login_1
login_mgr accepted 127.0.0.1:52452 as conn 1
login_mgr accepted 127.0.0.1:52464 as conn 2
login_mgr accepted 127.0.0.1:52465 as conn 3
login_mgr accepted 127.0.0.1:52466 as conn 4
login_mgr accepted 127.0.0.1:52467 as conn 5
login_mgr accepted 127.0.0.1:52468 as conn 6
login_mgr accepted 127.0.0.1:52469 as conn 7
login_mgr accepted 127.0.0.1:52470 as conn 8
login_mgr accepted 127.0.0.1:52471 as conn 9
login_mgr accepted 127.0.0.1:52472 as conn 10
login_mgr accepted 127.0.0.1:52473 as conn 11
login_mgr accepted 127.0.0.1:52474 as conn 12
login_mgr accepted 127.0.0.1:52475 as conn 13
login_mgr accepted 127.0.0.1:52476 as conn 14
login_mgr accepted 127.0.0.1:52477 as conn 15
login_mgr accepted 127.0.0.1:52478 as conn 16
login_mgr accepted 127.0.0.1:52479 as conn 17
login_mgr accepted 127.0.0.1:52530 as conn 18
login_mgr accepted 127.0.0.1:52539 as conn 19
login_mgr accepted 127.0.0.1:52542 as conn 20
login_mgr accepted 127.0.0.1:52544 as conn 21
login_mgr accepted 127.0.0.1:52548 as conn 22
login_mgr accepted 127.0.0.1:52549 as conn 23
login_mgr accepted 127.0.0.1:52550 as conn 24
login_mgr accepted 127.0.0.1:52552 as conn 25
login_mgr accepted 127.0.0.1:52553 as conn 26
login_mgr accepted 127.0.0.1:52554 as conn 27
login_mgr accepted 127.0.0.1:52555 as conn 28
login_mgr accepted 127.0.0.1:52556 as conn 29
login_mgr accepted 127.0.0.1:52557 as conn 30
login_mgr accepted 127.0.0.1:52558 as conn 31
login_mgr accepted 127.0.0.1:52559 as conn 32
login_mgr accepted 127.0.0.1:52560 as conn 33
login_mgr accepted 127.0.0.1:52561 as conn 34
login_mgr accepted 127.0.0.1:52575 as conn 35
login_mgr accepted 127.0.0.1:52576 as conn 36
login_mgr accepted 127.0.0.1:52577 as conn 37
login_mgr accepted 127.0.0.1:52595 as conn 38
login_mgr accepted 127.0.0.1:52598 as conn 39
login_mgr accepted 127.0.0.1:52599 as conn 40
login_mgr accepted 127.0.0.1:52602 as conn 41
login_mgr accepted 127.0.0.1:52604 as conn 42
login_mgr accepted 127.0.0.1:52608 as conn 43
login_mgr accepted 127.0.0.1:52610 as conn 44
login_mgr accepted 127.0.0.1:52611 as conn 45
login_mgr accepted 127.0.0.1:52613 as conn 46
login_mgr accepted 127.0.0.1:52614 as conn 47
login_mgr accepted 127.0.0.1:52615 as conn 48
login_mgr accepted 127.0.0.1:52616 as conn 49
login_mgr accepted 127.0.0.1:52617 as conn 50
login_mgr accepted 127.0.0.1:52618 as conn 51
login_mgr accepted 127.0.0.1:52620 as conn 52
login_mgr accepted 127.0.0.1:52625 as conn 53
login_mgr accepted 127.0.0.1:52627 as conn 54
login_mgr accepted 127.0.0.1:52628 as conn 55
login_mgr accepted 127.0.0.1:52635 as conn 56
login_mgr accepted 127.0.0.1:52644 as conn 57
login_mgr accepted 127.0.0.1:52648 as conn 58
login_mgr accepted 127.0.0.1:52658 as conn 59
login_mgr accepted 127.0.0.1:52659 as conn 60
login_mgr accepted 127.0.0.1:52660 as conn 61
login_mgr accepted 127.0.0.1:52661 as conn 62
login_mgr accepted 127.0.0.1:52664 as conn 63
login_mgr accepted 127.0.0.1:52665 as conn 64
login_mgr accepted 127.0.0.1:52666 as conn 65
login_mgr accepted 127.0.0.1:52668 as conn 66
login_mgr accepted 127.0.0.1:52670 as conn 67
login_mgr accepted 127.0.0.1:52673 as conn 68
login_mgr accepted 127.0.0.1:52674 as conn 69
login_mgr accepted 127.0.0.1:52675 as conn 70
login_mgr accepted 127.0.0.1:52676 as conn 71
login_mgr accepted 127.0.0.1:52681 as conn 72
login_mgr accepted 127.0.0.1:52686 as conn 73
login_mgr accepted 127.0.0.1:52689 as conn 74
login_mgr accepted 127.0.0.1:52705 as conn 75
login_mgr accepted 127.0.0.1:52709 as conn 76
login_mgr accepted 127.0.0.1:52710 as conn 77
login_mgr accepted 127.0.0.1:52711 as conn 78
login_mgr accepted 127.0.0.1:52712 as conn 79
login_mgr accepted 127.0.0.1:52714 as conn 80
login_mgr accepted 127.0.0.1:52715 as conn 81
login_mgr accepted 127.0.0.1:52716 as conn 82
login_mgr accepted 127.0.0.1:52717 as conn 83
login_mgr accepted 127.0.0.1:52722 as conn 84
login_mgr accepted 127.0.0.1:52723 as conn 85
login_mgr accepted 127.0.0.1:52724 as conn 86
login_mgr accepted 127.0.0.1:52726 as conn 87
login_mgr accepted 127.0.0.1:52731 as conn 88
login_mgr accepted 127.0.0.1:52733 as conn 89
login_mgr accepted 127.0.0.1:52734 as conn 90
login_mgr accepted 127.0.0.1:52750 as conn 91
login_mgr accepted 127.0.0.1:52755 as conn 92
login_mgr accepted 127.0.0.1:52759 as conn 93
login_mgr accepted 127.0.0.1:52760 as conn 94
login_mgr accepted 127.0.0.1:52761 as conn 95
login_mgr accepted 127.0.0.1:52767 as conn 96
login_mgr accepted 127.0.0.1:52769 as conn 97
login_mgr accepted 127.0.0.1:52770 as conn 98
login_mgr accepted 127.0.0.1:52771 as conn 99
login_mgr accepted 127.0.0.1:52779 as conn 100
login_mgr accepted 127.0.0.1:52780 as conn 101
login_mgr accepted 127.0.0.1:52781 as conn 102
login_mgr accepted 127.0.0.1:52782 as conn 103
login_mgr accepted 127.0.0.1:52791 as conn 104
login_mgr accepted 127.0.0.1:52792 as conn 105
login_mgr accepted 127.0.0.1:52793 as conn 106
login_mgr accepted 127.0.0.1:52794 as conn 107
login_mgr accepted 127.0.0.1:52803 as conn 108
login_mgr accepted 127.0.0.1:52804 as conn 109
login_mgr accepted 127.0.0.1:52805 as conn 110
login_mgr accepted 127.0.0.1:52806 as conn 111
login_mgr accepted 127.0.0.1:52814 as conn 112
login_mgr accepted 127.0.0.1:52815 as conn 113
login_mgr accepted 127.0.0.1:52816 as conn 114
login_mgr accepted 127.0.0.1:52817 as conn 115
login_mgr accepted 127.0.0.1:52819 as conn 116
login_mgr accepted 127.0.0.1:52825 as conn 117
login_mgr accepted 127.0.0.1:52826 as conn 118
login_mgr accepted 127.0.0.1:52827 as conn 119
login_mgr accepted 127.0.0.1:52833 as conn 120
login_mgr accepted 127.0.0.1:52834 as conn 121
login_mgr accepted 127.0.0.1:52835 as conn 122
login_mgr accepted 127.0.0.1:52841 as conn 123
login_mgr accepted 127.0.0.1:52845 as conn 124
login_mgr accepted 127.0.0.1:52850 as conn 125
login_mgr accepted 127.0.0.1:52851 as conn 126
login_mgr accepted 127.0.0.1:52854 as conn 127
login_mgr accepted 127.0.0.1:52859 as conn 128
login_mgr accepted 127.0.0.1:52867 as conn 129
login_mgr accepted 127.0.0.1:52868 as conn 130
login_mgr accepted 127.0.0.1:52869 as conn 131
login_mgr accepted 127.0.0.1:52870 as conn 132
login_mgr accepted 127.0.0.1:52875 as conn 133
login_mgr accepted 127.0.0.1:52876 as conn 134
login_mgr accepted 127.0.0.1:52888 as conn 135
login_mgr accepted 127.0.0.1:52889 as conn 136
login_mgr accepted 127.0.0.1:52890 as conn 137
login_mgr accepted 127.0.0.1:52891 as conn 138
login_mgr accepted 127.0.0.1:52897 as conn 139
login_mgr accepted 127.0.0.1:52899 as conn 140
login_mgr accepted 127.0.0.1:52900 as conn 141
login_mgr accepted 127.0.0.1:52904 as conn 142
login_mgr accepted 127.0.0.1:52913 as conn 143
login_mgr accepted 127.0.0.1:52914 as conn 144
login_mgr accepted 127.0.0.1:52915 as conn 145
login_mgr accepted 127.0.0.1:52916 as conn 146
login_mgr accepted 127.0.0.1:52925 as conn 147
login_mgr accepted 127.0.0.1:52926 as conn 148
login_mgr accepted 127.0.0.1:52927 as conn 149
