starting process mgr with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\perf\results\runtime_configs\map_capacity_20260713_081609\200p_8g_r1\mgr.json
scene login_mgr (LoginMgr) listening on 127.0.0.1:7000
[process:mgr] one V8 started with 1 scene(s)
[login_mgr] LoginMgr scene started at 127.0.0.1:7000 with login scenes: login_1
login_mgr accepted 127.0.0.1:50574 as conn 1
login_mgr accepted 127.0.0.1:50586 as conn 2
login_mgr accepted 127.0.0.1:50587 as conn 3
login_mgr accepted 127.0.0.1:50588 as conn 4
login_mgr accepted 127.0.0.1:50589 as conn 5
login_mgr accepted 127.0.0.1:50590 as conn 6
login_mgr accepted 127.0.0.1:50591 as conn 7
login_mgr accepted 127.0.0.1:50592 as conn 8
login_mgr accepted 127.0.0.1:50593 as conn 9
login_mgr accepted 127.0.0.1:50594 as conn 10
login_mgr accepted 127.0.0.1:50595 as conn 11
login_mgr accepted 127.0.0.1:50596 as conn 12
login_mgr accepted 127.0.0.1:50597 as conn 13
login_mgr accepted 127.0.0.1:50598 as conn 14
login_mgr accepted 127.0.0.1:50599 as conn 15
login_mgr accepted 127.0.0.1:50600 as conn 16
login_mgr accepted 127.0.0.1:50601 as conn 17
login_mgr accepted 127.0.0.1:51619 as conn 18
login_mgr accepted 127.0.0.1:51647 as conn 19
login_mgr accepted 127.0.0.1:51665 as conn 20
login_mgr accepted 127.0.0.1:51666 as conn 21
login_mgr accepted 127.0.0.1:51690 as conn 22
login_mgr accepted 127.0.0.1:51691 as conn 23
login_mgr accepted 127.0.0.1:51692 as conn 24
login_mgr accepted 127.0.0.1:51694 as conn 25
login_mgr accepted 127.0.0.1:51695 as conn 26
login_mgr accepted 127.0.0.1:51697 as conn 27
login_mgr accepted 127.0.0.1:51698 as conn 28
login_mgr accepted 127.0.0.1:51699 as conn 29
login_mgr accepted 127.0.0.1:51700 as conn 30
login_mgr accepted 127.0.0.1:51701 as conn 31
login_mgr accepted 127.0.0.1:51702 as conn 32
login_mgr accepted 127.0.0.1:51705 as conn 33
login_mgr accepted 127.0.0.1:51706 as conn 34
login_mgr accepted 127.0.0.1:51716 as conn 35
login_mgr accepted 127.0.0.1:51722 as conn 36
login_mgr accepted 127.0.0.1:51727 as conn 37
login_mgr accepted 127.0.0.1:51739 as conn 38
login_mgr accepted 127.0.0.1:51740 as conn 39
login_mgr accepted 127.0.0.1:51743 as conn 40
login_mgr accepted 127.0.0.1:51746 as conn 41
login_mgr accepted 127.0.0.1:51747 as conn 42
login_mgr accepted 127.0.0.1:51748 as conn 43
login_mgr accepted 127.0.0.1:51750 as conn 44
login_mgr accepted 127.0.0.1:51751 as conn 45
login_mgr accepted 127.0.0.1:51752 as conn 46
login_mgr accepted 127.0.0.1:51753 as conn 47
login_mgr accepted 127.0.0.1:51759 as conn 48
login_mgr accepted 127.0.0.1:51760 as conn 49
login_mgr accepted 127.0.0.1:51761 as conn 50
login_mgr accepted 127.0.0.1:51762 as conn 51
login_mgr accepted 127.0.0.1:51764 as conn 52
login_mgr accepted 127.0.0.1:51765 as conn 53
login_mgr accepted 127.0.0.1:51779 as conn 54
login_mgr accepted 127.0.0.1:51782 as conn 55
login_mgr accepted 127.0.0.1:51786 as conn 56
login_mgr accepted 127.0.0.1:51794 as conn 57
login_mgr accepted 127.0.0.1:51795 as conn 58
login_mgr accepted 127.0.0.1:51796 as conn 59
login_mgr accepted 127.0.0.1:51799 as conn 60
login_mgr accepted 127.0.0.1:51804 as conn 61
login_mgr accepted 127.0.0.1:51805 as conn 62
login_mgr accepted 127.0.0.1:51806 as conn 63
login_mgr accepted 127.0.0.1:51809 as conn 64
login_mgr accepted 127.0.0.1:51810 as conn 65
login_mgr accepted 127.0.0.1:51811 as conn 66
login_mgr accepted 127.0.0.1:51812 as conn 67
login_mgr accepted 127.0.0.1:51817 as conn 68
login_mgr accepted 127.0.0.1:51820 as conn 69
login_mgr accepted 127.0.0.1:51822 as conn 70
login_mgr accepted 127.0.0.1:51823 as conn 71
login_mgr accepted 127.0.0.1:51829 as conn 72
login_mgr accepted 127.0.0.1:51837 as conn 73
login_mgr accepted 127.0.0.1:51839 as conn 74
login_mgr accepted 127.0.0.1:51840 as conn 75
login_mgr accepted 127.0.0.1:51845 as conn 76
login_mgr accepted 127.0.0.1:51849 as conn 77
login_mgr accepted 127.0.0.1:51853 as conn 78
login_mgr accepted 127.0.0.1:51856 as conn 79
login_mgr accepted 127.0.0.1:51858 as conn 80
login_mgr accepted 127.0.0.1:51859 as conn 81
login_mgr accepted 127.0.0.1:51862 as conn 82
login_mgr accepted 127.0.0.1:51864 as conn 83
login_mgr accepted 127.0.0.1:51867 as conn 84
login_mgr accepted 127.0.0.1:51871 as conn 85
login_mgr accepted 127.0.0.1:51873 as conn 86
login_mgr accepted 127.0.0.1:51874 as conn 87
login_mgr accepted 127.0.0.1:51877 as conn 88
login_mgr accepted 127.0.0.1:51883 as conn 89
login_mgr accepted 127.0.0.1:51890 as conn 90
login_mgr accepted 127.0.0.1:51891 as conn 91
login_mgr accepted 127.0.0.1:51893 as conn 92
login_mgr accepted 127.0.0.1:51894 as conn 93
login_mgr accepted 127.0.0.1:51899 as conn 94
login_mgr accepted 127.0.0.1:51901 as conn 95
login_mgr accepted 127.0.0.1:51904 as conn 96
login_mgr accepted 127.0.0.1:51907 as conn 97
login_mgr accepted 127.0.0.1:51912 as conn 98
login_mgr accepted 127.0.0.1:51913 as conn 99
login_mgr accepted 127.0.0.1:51915 as conn 100
login_mgr accepted 127.0.0.1:51919 as conn 101
login_mgr accepted 127.0.0.1:51922 as conn 102
login_mgr accepted 127.0.0.1:51925 as conn 103
login_mgr accepted 127.0.0.1:51929 as conn 104
login_mgr accepted 127.0.0.1:51933 as conn 105
login_mgr accepted 127.0.0.1:51937 as conn 106
login_mgr accepted 127.0.0.1:51944 as conn 107
login_mgr accepted 127.0.0.1:51945 as conn 108
login_mgr accepted 127.0.0.1:51946 as conn 109
login_mgr accepted 127.0.0.1:51950 as conn 110
login_mgr accepted 127.0.0.1:51951 as conn 111
login_mgr accepted 127.0.0.1:51953 as conn 112
login_mgr accepted 127.0.0.1:51957 as conn 113
login_mgr accepted 127.0.0.1:51959 as conn 114
login_mgr accepted 127.0.0.1:51966 as conn 115
login_mgr accepted 127.0.0.1:51967 as conn 116
login_mgr accepted 127.0.0.1:51968 as conn 117
login_mgr accepted 127.0.0.1:51973 as conn 118
login_mgr accepted 127.0.0.1:51975 as conn 119
login_mgr accepted 127.0.0.1:51978 as conn 120
login_mgr accepted 127.0.0.1:51979 as conn 121
login_mgr accepted 127.0.0.1:51984 as conn 122
login_mgr accepted 127.0.0.1:51987 as conn 123
login_mgr accepted 127.0.0.1:51988 as conn 124
login_mgr accepted 127.0.0.1:51992 as conn 125
login_mgr accepted 127.0.0.1:51995 as conn 126
login_mgr accepted 127.0.0.1:52002 as conn 127
login_mgr accepted 127.0.0.1:52003 as conn 128
login_mgr accepted 127.0.0.1:52008 as conn 129
login_mgr accepted 127.0.0.1:52009 as conn 130
login_mgr accepted 127.0.0.1:52011 as conn 131
login_mgr accepted 127.0.0.1:52015 as conn 132
login_mgr accepted 127.0.0.1:52018 as conn 133
login_mgr accepted 127.0.0.1:52021 as conn 134
login_mgr accepted 127.0.0.1:52022 as conn 135
login_mgr accepted 127.0.0.1:52026 as conn 136
login_mgr accepted 127.0.0.1:52027 as conn 137
login_mgr accepted 127.0.0.1:52029 as conn 138
login_mgr accepted 127.0.0.1:52032 as conn 139
login_mgr accepted 127.0.0.1:52034 as conn 140
login_mgr accepted 127.0.0.1:52038 as conn 141
login_mgr accepted 127.0.0.1:52039 as conn 142
login_mgr accepted 127.0.0.1:52047 as conn 143
login_mgr accepted 127.0.0.1:52052 as conn 144
login_mgr accepted 127.0.0.1:52055 as conn 145
login_mgr accepted 127.0.0.1:52058 as conn 146
login_mgr accepted 127.0.0.1:52059 as conn 147
login_mgr accepted 127.0.0.1:52065 as conn 148
login_mgr accepted 127.0.0.1:52067 as conn 149
