starting process mgr with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\perf\results\runtime_configs\map_capacity_20260713_081609\180p_8g_r2\mgr.json
scene login_mgr (LoginMgr) listening on 127.0.0.1:7000
[process:mgr] one V8 started with 1 scene(s)
[login_mgr] LoginMgr scene started at 127.0.0.1:7000 with login scenes: login_1
login_mgr accepted 127.0.0.1:51667 as conn 1
login_mgr accepted 127.0.0.1:51679 as conn 2
login_mgr accepted 127.0.0.1:51680 as conn 3
login_mgr accepted 127.0.0.1:51681 as conn 4
login_mgr accepted 127.0.0.1:51682 as conn 5
login_mgr accepted 127.0.0.1:51683 as conn 6
login_mgr accepted 127.0.0.1:51684 as conn 7
login_mgr accepted 127.0.0.1:51685 as conn 8
login_mgr accepted 127.0.0.1:51686 as conn 9
login_mgr accepted 127.0.0.1:51687 as conn 10
login_mgr accepted 127.0.0.1:51688 as conn 11
login_mgr accepted 127.0.0.1:51689 as conn 12
login_mgr accepted 127.0.0.1:51690 as conn 13
login_mgr accepted 127.0.0.1:51691 as conn 14
login_mgr accepted 127.0.0.1:51692 as conn 15
login_mgr accepted 127.0.0.1:51693 as conn 16
login_mgr accepted 127.0.0.1:51694 as conn 17
login_mgr accepted 127.0.0.1:51745 as conn 18
login_mgr accepted 127.0.0.1:51754 as conn 19
login_mgr accepted 127.0.0.1:51758 as conn 20
login_mgr accepted 127.0.0.1:51759 as conn 21
login_mgr accepted 127.0.0.1:51760 as conn 22
login_mgr accepted 127.0.0.1:51763 as conn 23
login_mgr accepted 127.0.0.1:51764 as conn 24
login_mgr accepted 127.0.0.1:51765 as conn 25
login_mgr accepted 127.0.0.1:51766 as conn 26
login_mgr accepted 127.0.0.1:51767 as conn 27
login_mgr accepted 127.0.0.1:51768 as conn 28
login_mgr accepted 127.0.0.1:51769 as conn 29
login_mgr accepted 127.0.0.1:51770 as conn 30
login_mgr accepted 127.0.0.1:51771 as conn 31
login_mgr accepted 127.0.0.1:51772 as conn 32
login_mgr accepted 127.0.0.1:51786 as conn 33
login_mgr accepted 127.0.0.1:51799 as conn 34
login_mgr accepted 127.0.0.1:51800 as conn 35
login_mgr accepted 127.0.0.1:51801 as conn 36
login_mgr accepted 127.0.0.1:51802 as conn 37
login_mgr accepted 127.0.0.1:51804 as conn 38
login_mgr accepted 127.0.0.1:51805 as conn 39
login_mgr accepted 127.0.0.1:51810 as conn 40
login_mgr accepted 127.0.0.1:51811 as conn 41
login_mgr accepted 127.0.0.1:51812 as conn 42
login_mgr accepted 127.0.0.1:51818 as conn 43
login_mgr accepted 127.0.0.1:51819 as conn 44
login_mgr accepted 127.0.0.1:51820 as conn 45
login_mgr accepted 127.0.0.1:51821 as conn 46
login_mgr accepted 127.0.0.1:51825 as conn 47
login_mgr accepted 127.0.0.1:51826 as conn 48
login_mgr accepted 127.0.0.1:51829 as conn 49
login_mgr accepted 127.0.0.1:51841 as conn 50
login_mgr accepted 127.0.0.1:51842 as conn 51
login_mgr accepted 127.0.0.1:51843 as conn 52
login_mgr accepted 127.0.0.1:51846 as conn 53
login_mgr accepted 127.0.0.1:51848 as conn 54
login_mgr accepted 127.0.0.1:51852 as conn 55
login_mgr accepted 127.0.0.1:51855 as conn 56
login_mgr accepted 127.0.0.1:51860 as conn 57
login_mgr accepted 127.0.0.1:51861 as conn 58
login_mgr accepted 127.0.0.1:51866 as conn 59
login_mgr accepted 127.0.0.1:51871 as conn 60
login_mgr accepted 127.0.0.1:51872 as conn 61
login_mgr accepted 127.0.0.1:51875 as conn 62
login_mgr accepted 127.0.0.1:51876 as conn 63
login_mgr accepted 127.0.0.1:51877 as conn 64
login_mgr accepted 127.0.0.1:51878 as conn 65
login_mgr accepted 127.0.0.1:51884 as conn 66
login_mgr accepted 127.0.0.1:51889 as conn 67
login_mgr accepted 127.0.0.1:51893 as conn 68
login_mgr accepted 127.0.0.1:51894 as conn 69
login_mgr accepted 127.0.0.1:51895 as conn 70
login_mgr accepted 127.0.0.1:51897 as conn 71
login_mgr accepted 127.0.0.1:51900 as conn 72
login_mgr accepted 127.0.0.1:51901 as conn 73
login_mgr accepted 127.0.0.1:51909 as conn 74
login_mgr accepted 127.0.0.1:51916 as conn 75
login_mgr accepted 127.0.0.1:51917 as conn 76
login_mgr accepted 127.0.0.1:51919 as conn 77
login_mgr accepted 127.0.0.1:51924 as conn 78
login_mgr accepted 127.0.0.1:51927 as conn 79
login_mgr accepted 127.0.0.1:51928 as conn 80
login_mgr accepted 127.0.0.1:51929 as conn 81
login_mgr accepted 127.0.0.1:51935 as conn 82
login_mgr accepted 127.0.0.1:51938 as conn 83
login_mgr accepted 127.0.0.1:51941 as conn 84
login_mgr accepted 127.0.0.1:51945 as conn 85
login_mgr accepted 127.0.0.1:51946 as conn 86
login_mgr accepted 127.0.0.1:51951 as conn 87
login_mgr accepted 127.0.0.1:51952 as conn 88
login_mgr accepted 127.0.0.1:51955 as conn 89
login_mgr accepted 127.0.0.1:51957 as conn 90
login_mgr accepted 127.0.0.1:51967 as conn 91
login_mgr accepted 127.0.0.1:51970 as conn 92
login_mgr accepted 127.0.0.1:51971 as conn 93
login_mgr accepted 127.0.0.1:51975 as conn 94
login_mgr accepted 127.0.0.1:51976 as conn 95
login_mgr accepted 127.0.0.1:51979 as conn 96
login_mgr accepted 127.0.0.1:51980 as conn 97
login_mgr accepted 127.0.0.1:51983 as conn 98
login_mgr accepted 127.0.0.1:51986 as conn 99
login_mgr accepted 127.0.0.1:51988 as conn 100
login_mgr accepted 127.0.0.1:51994 as conn 101
login_mgr accepted 127.0.0.1:51995 as conn 102
login_mgr accepted 127.0.0.1:52002 as conn 103
login_mgr accepted 127.0.0.1:52003 as conn 104
login_mgr accepted 127.0.0.1:52004 as conn 105
login_mgr accepted 127.0.0.1:52005 as conn 106
login_mgr accepted 127.0.0.1:52009 as conn 107
login_mgr accepted 127.0.0.1:52011 as conn 108
login_mgr accepted 127.0.0.1:52017 as conn 109
login_mgr accepted 127.0.0.1:52020 as conn 110
login_mgr accepted 127.0.0.1:52021 as conn 111
login_mgr accepted 127.0.0.1:52023 as conn 112
login_mgr accepted 127.0.0.1:52025 as conn 113
login_mgr accepted 127.0.0.1:52028 as conn 114
login_mgr accepted 127.0.0.1:52034 as conn 115
login_mgr accepted 127.0.0.1:52035 as conn 116
login_mgr accepted 127.0.0.1:52041 as conn 117
login_mgr accepted 127.0.0.1:52043 as conn 118
login_mgr accepted 127.0.0.1:52049 as conn 119
login_mgr accepted 127.0.0.1:52055 as conn 120
login_mgr accepted 127.0.0.1:52056 as conn 121
login_mgr accepted 127.0.0.1:52057 as conn 122
login_mgr accepted 127.0.0.1:52060 as conn 123
login_mgr accepted 127.0.0.1:52061 as conn 124
login_mgr accepted 127.0.0.1:52067 as conn 125
login_mgr accepted 127.0.0.1:52068 as conn 126
login_mgr accepted 127.0.0.1:52073 as conn 127
login_mgr accepted 127.0.0.1:52075 as conn 128
login_mgr accepted 127.0.0.1:52076 as conn 129
login_mgr accepted 127.0.0.1:52077 as conn 130
login_mgr accepted 127.0.0.1:52083 as conn 131
login_mgr accepted 127.0.0.1:52084 as conn 132
login_mgr accepted 127.0.0.1:52092 as conn 133
login_mgr accepted 127.0.0.1:52093 as conn 134
login_mgr accepted 127.0.0.1:52095 as conn 135
login_mgr accepted 127.0.0.1:52102 as conn 136
login_mgr accepted 127.0.0.1:52103 as conn 137
login_mgr accepted 127.0.0.1:52109 as conn 138
login_mgr accepted 127.0.0.1:52110 as conn 139
login_mgr accepted 127.0.0.1:52111 as conn 140
login_mgr accepted 127.0.0.1:52116 as conn 141
login_mgr accepted 127.0.0.1:52117 as conn 142
login_mgr accepted 127.0.0.1:52123 as conn 143
login_mgr accepted 127.0.0.1:52125 as conn 144
login_mgr accepted 127.0.0.1:52126 as conn 145
login_mgr accepted 127.0.0.1:52129 as conn 146
login_mgr accepted 127.0.0.1:52130 as conn 147
login_mgr accepted 127.0.0.1:52137 as conn 148
login_mgr accepted 127.0.0.1:52142 as conn 149
