starting process mgr with one V8 and 1 scene(s) from E:\VsCode\skynet\ets_runtime\perf\results\runtime_configs\map_capacity_20260713_083029\185p_8g_r3\mgr.json
scene login_mgr (LoginMgr) listening on 127.0.0.1:7000
[process:mgr] one V8 started with 1 scene(s)
[login_mgr] LoginMgr scene started at 127.0.0.1:7000 with login scenes: login_1
login_mgr accepted 127.0.0.1:59566 as conn 1
login_mgr accepted 127.0.0.1:59578 as conn 2
login_mgr accepted 127.0.0.1:59579 as conn 3
login_mgr accepted 127.0.0.1:59580 as conn 4
login_mgr accepted 127.0.0.1:59581 as conn 5
login_mgr accepted 127.0.0.1:59582 as conn 6
login_mgr accepted 127.0.0.1:59583 as conn 7
login_mgr accepted 127.0.0.1:59584 as conn 8
login_mgr accepted 127.0.0.1:59585 as conn 9
login_mgr accepted 127.0.0.1:59586 as conn 10
login_mgr accepted 127.0.0.1:59587 as conn 11
login_mgr accepted 127.0.0.1:59588 as conn 12
login_mgr accepted 127.0.0.1:59589 as conn 13
login_mgr accepted 127.0.0.1:59590 as conn 14
login_mgr accepted 127.0.0.1:59591 as conn 15
login_mgr accepted 127.0.0.1:59592 as conn 16
login_mgr accepted 127.0.0.1:59593 as conn 17
login_mgr accepted 127.0.0.1:59656 as conn 18
login_mgr accepted 127.0.0.1:59667 as conn 19
login_mgr accepted 127.0.0.1:59669 as conn 20
login_mgr accepted 127.0.0.1:59670 as conn 21
login_mgr accepted 127.0.0.1:59674 as conn 22
login_mgr accepted 127.0.0.1:59675 as conn 23
login_mgr accepted 127.0.0.1:59676 as conn 24
login_mgr accepted 127.0.0.1:59677 as conn 25
login_mgr accepted 127.0.0.1:59678 as conn 26
login_mgr accepted 127.0.0.1:59679 as conn 27
login_mgr accepted 127.0.0.1:59680 as conn 28
login_mgr accepted 127.0.0.1:59681 as conn 29
login_mgr accepted 127.0.0.1:59682 as conn 30
login_mgr accepted 127.0.0.1:59683 as conn 31
login_mgr accepted 127.0.0.1:59684 as conn 32
login_mgr accepted 127.0.0.1:59685 as conn 33
login_mgr accepted 127.0.0.1:59686 as conn 34
login_mgr accepted 127.0.0.1:59702 as conn 35
login_mgr accepted 127.0.0.1:59708 as conn 36
login_mgr accepted 127.0.0.1:59718 as conn 37
login_mgr accepted 127.0.0.1:59722 as conn 38
login_mgr accepted 127.0.0.1:59725 as conn 39
login_mgr accepted 127.0.0.1:59728 as conn 40
login_mgr accepted 127.0.0.1:59730 as conn 41
login_mgr accepted 127.0.0.1:59731 as conn 42
login_mgr accepted 127.0.0.1:59733 as conn 43
login_mgr accepted 127.0.0.1:59734 as conn 44
login_mgr accepted 127.0.0.1:59735 as conn 45
login_mgr accepted 127.0.0.1:59736 as conn 46
login_mgr accepted 127.0.0.1:59737 as conn 47
login_mgr accepted 127.0.0.1:59738 as conn 48
login_mgr accepted 127.0.0.1:59739 as conn 49
login_mgr accepted 127.0.0.1:59742 as conn 50
login_mgr accepted 127.0.0.1:59743 as conn 51
login_mgr accepted 127.0.0.1:59745 as conn 52
login_mgr accepted 127.0.0.1:59746 as conn 53
login_mgr accepted 127.0.0.1:59750 as conn 54
login_mgr accepted 127.0.0.1:59760 as conn 55
login_mgr accepted 127.0.0.1:59776 as conn 56
login_mgr accepted 127.0.0.1:59778 as conn 57
login_mgr accepted 127.0.0.1:59779 as conn 58
login_mgr accepted 127.0.0.1:59780 as conn 59
login_mgr accepted 127.0.0.1:59782 as conn 60
login_mgr accepted 127.0.0.1:59783 as conn 61
login_mgr accepted 127.0.0.1:59788 as conn 62
login_mgr accepted 127.0.0.1:59789 as conn 63
login_mgr accepted 127.0.0.1:59790 as conn 64
login_mgr accepted 127.0.0.1:59792 as conn 65
login_mgr accepted 127.0.0.1:59793 as conn 66
login_mgr accepted 127.0.0.1:59794 as conn 67
login_mgr accepted 127.0.0.1:59798 as conn 68
login_mgr accepted 127.0.0.1:59799 as conn 69
login_mgr accepted 127.0.0.1:59803 as conn 70
login_mgr accepted 127.0.0.1:59807 as conn 71
login_mgr accepted 127.0.0.1:59820 as conn 72
login_mgr accepted 127.0.0.1:59824 as conn 73
login_mgr accepted 127.0.0.1:59828 as conn 74
login_mgr accepted 127.0.0.1:59829 as conn 75
login_mgr accepted 127.0.0.1:59830 as conn 76
login_mgr accepted 127.0.0.1:59831 as conn 77
login_mgr accepted 127.0.0.1:59833 as conn 78
login_mgr accepted 127.0.0.1:59835 as conn 79
login_mgr accepted 127.0.0.1:59836 as conn 80
login_mgr accepted 127.0.0.1:59838 as conn 81
login_mgr accepted 127.0.0.1:59841 as conn 82
login_mgr accepted 127.0.0.1:59845 as conn 83
login_mgr accepted 127.0.0.1:59846 as conn 84
login_mgr accepted 127.0.0.1:59847 as conn 85
login_mgr accepted 127.0.0.1:59848 as conn 86
login_mgr accepted 127.0.0.1:59852 as conn 87
login_mgr accepted 127.0.0.1:59870 as conn 88
login_mgr accepted 127.0.0.1:59872 as conn 89
login_mgr accepted 127.0.0.1:59877 as conn 90
login_mgr accepted 127.0.0.1:59884 as conn 91
login_mgr accepted 127.0.0.1:59885 as conn 92
login_mgr accepted 127.0.0.1:59886 as conn 93
login_mgr accepted 127.0.0.1:59887 as conn 94
login_mgr accepted 127.0.0.1:59892 as conn 95
login_mgr accepted 127.0.0.1:59894 as conn 96
login_mgr accepted 127.0.0.1:59896 as conn 97
login_mgr accepted 127.0.0.1:59897 as conn 98
login_mgr accepted 127.0.0.1:59904 as conn 99
login_mgr accepted 127.0.0.1:59906 as conn 100
login_mgr accepted 127.0.0.1:59907 as conn 101
login_mgr accepted 127.0.0.1:59908 as conn 102
login_mgr accepted 127.0.0.1:59916 as conn 103
login_mgr accepted 127.0.0.1:59917 as conn 104
login_mgr accepted 127.0.0.1:59918 as conn 105
login_mgr accepted 127.0.0.1:59919 as conn 106
login_mgr accepted 127.0.0.1:59926 as conn 107
login_mgr accepted 127.0.0.1:59927 as conn 108
login_mgr accepted 127.0.0.1:59928 as conn 109
login_mgr accepted 127.0.0.1:59929 as conn 110
login_mgr accepted 127.0.0.1:59932 as conn 111
login_mgr accepted 127.0.0.1:59933 as conn 112
login_mgr accepted 127.0.0.1:59934 as conn 113
login_mgr accepted 127.0.0.1:59935 as conn 114
login_mgr accepted 127.0.0.1:59943 as conn 115
login_mgr accepted 127.0.0.1:59946 as conn 116
login_mgr accepted 127.0.0.1:59949 as conn 117
login_mgr accepted 127.0.0.1:59950 as conn 118
login_mgr accepted 127.0.0.1:59964 as conn 119
login_mgr accepted 127.0.0.1:59966 as conn 120
login_mgr accepted 127.0.0.1:59967 as conn 121
login_mgr accepted 127.0.0.1:59969 as conn 122
login_mgr accepted 127.0.0.1:59972 as conn 123
login_mgr accepted 127.0.0.1:59976 as conn 124
login_mgr accepted 127.0.0.1:59977 as conn 125
login_mgr accepted 127.0.0.1:59980 as conn 126
login_mgr accepted 127.0.0.1:59982 as conn 127
login_mgr accepted 127.0.0.1:59983 as conn 128
login_mgr accepted 127.0.0.1:59984 as conn 129
login_mgr accepted 127.0.0.1:59988 as conn 130
login_mgr accepted 127.0.0.1:59990 as conn 131
login_mgr accepted 127.0.0.1:59994 as conn 132
login_mgr accepted 127.0.0.1:59995 as conn 133
login_mgr accepted 127.0.0.1:59999 as conn 134
login_mgr accepted 127.0.0.1:60013 as conn 135
login_mgr accepted 127.0.0.1:60017 as conn 136
login_mgr accepted 127.0.0.1:60018 as conn 137
login_mgr accepted 127.0.0.1:60022 as conn 138
login_mgr accepted 127.0.0.1:60024 as conn 139
login_mgr accepted 127.0.0.1:60025 as conn 140
login_mgr accepted 127.0.0.1:60028 as conn 141
login_mgr accepted 127.0.0.1:60029 as conn 142
login_mgr accepted 127.0.0.1:60031 as conn 143
login_mgr accepted 127.0.0.1:60032 as conn 144
login_mgr accepted 127.0.0.1:60043 as conn 145
login_mgr accepted 127.0.0.1:60044 as conn 146
login_mgr accepted 127.0.0.1:60045 as conn 147
login_mgr accepted 127.0.0.1:60046 as conn 148
login_mgr accepted 127.0.0.1:60050 as conn 149
